,date,인사일러스,인사일러스_absolute
0,2019-01-01,0.01121,5.126658243379797
1,2019-01-02,0.04484,20.50663297351919
2,2019-01-03,0.03363,15.379974730139393
3,2019-01-04,0.03587,16.404391720787988
4,2019-01-05,0.02914,13.326567458705378
5,2019-01-06,0.02017,9.224326205974176
6,2019-01-07,0.0,0.0
7,2019-01-08,0.04708,21.531049964167785
8,2019-01-09,0.01345,6.151075234028393
9,2019-01-10,0.0,0.0
10,2019-01-11,0.0,0.0
11,2019-01-12,0.0,0.0
12,2019-01-13,0.0,0.0
13,2019-01-14,0.0,0.0
14,2019-01-15,0.01121,5.126658243379797
15,2019-01-16,0.01569,7.1754922246769866
16,2019-01-17,0.0,0.0
17,2019-01-18,0.0,0.0
18,2019-01-19,0.0,0.0
19,2019-01-20,0.02017,9.224326205974176
20,2019-01-21,0.0,0.0
21,2019-01-22,0.0,0.0
22,2019-01-23,0.01121,5.126658243379797
23,2019-01-24,0.0,0.0
24,2019-01-25,0.0,0.0
25,2019-01-26,0.01121,5.126658243379797
26,2019-01-27,0.01793,8.199909215325583
27,2019-01-28,0.01569,7.1754922246769866
28,2019-01-29,0.03139,14.355557739490798
29,2019-01-30,0.01569,7.1754922246769866
30,2019-01-31,0.01569,7.1754922246769866
31,2019-02-01,0.02466,11.27773347740819
32,2019-02-02,0.0269,12.302150468056785
33,2019-02-03,0.01569,7.1754922246769866
34,2019-02-04,0.01569,7.1754922246769866
35,2019-02-05,0.0,0.0
36,2019-02-06,0.01121,5.126658243379797
37,2019-02-07,0.03587,16.404391720787988
38,2019-02-08,0.02466,11.27773347740819
39,2019-02-09,0.0,0.0
40,2019-02-10,0.02017,9.224326205974176
41,2019-02-11,0.02466,11.27773347740819
42,2019-02-12,0.01569,7.1754922246769866
43,2019-02-13,0.02466,11.27773347740819
44,2019-02-14,0.01345,6.151075234028393
45,2019-02-15,0.02017,9.224326205974176
46,2019-02-16,0.01121,5.126658243379797
47,2019-02-17,0.01345,6.151075234028393
48,2019-02-18,0.0426,19.482215982870596
49,2019-02-19,0.01345,6.151075234028393
50,2019-02-20,0.06278,28.711115478981597
51,2019-02-21,0.01569,7.1754922246769866
52,2019-02-22,0.03587,16.404391720787988
53,2019-02-23,0.0426,19.482215982870596
54,2019-02-24,0.02017,9.224326205974176
55,2019-02-25,0.02914,13.326567458705378
56,2019-02-26,0.04708,21.531049964167785
57,2019-02-27,0.04035,18.453225702085174
58,2019-02-28,0.0,0.0
59,2019-03-01,0.02017,9.224326205974176
60,2019-03-02,0.01569,7.1754922246769866
61,2019-03-03,0.02242,10.253316486759594
62,2019-03-04,0.02466,11.27773347740819
63,2019-03-05,0.03139,14.355557739490798
64,2019-03-06,0.01569,7.1754922246769866
65,2019-03-07,0.03139,14.355557739490798
66,2019-03-08,0.01569,7.1754922246769866
67,2019-03-09,0.01345,6.151075234028393
68,2019-03-10,0.01569,7.1754922246769866
69,2019-03-11,0.01345,6.151075234028393
70,2019-03-12,0.0,0.0
71,2019-03-13,0.0,0.0
72,2019-03-14,0.0269,12.302150468056785
73,2019-03-15,0.03363,15.379974730139393
74,2019-03-16,0.01121,5.126658243379797
75,2019-03-17,0.02466,11.27773347740819
76,2019-03-18,0.03363,15.379974730139393
77,2019-03-19,0.0269,12.302150468056785
78,2019-03-20,0.03587,16.404391720787988
79,2019-03-21,0.03363,15.379974730139393
80,2019-03-22,0.04035,18.453225702085174
81,2019-03-23,0.0269,12.302150468056785
82,2019-03-24,0.03139,14.355557739490798
83,2019-03-25,0.05157,23.584457235601796
84,2019-03-26,0.03363,15.379974730139393
85,2019-03-27,0.03139,14.355557739490798
86,2019-03-28,0.02914,13.326567458705378
87,2019-03-29,0.01793,8.199909215325583
88,2019-03-30,0.0,0.0
89,2019-03-31,0.02466,11.27773347740819
90,2019-04-01,0.03587,16.404391720787988
91,2019-04-02,0.02242,10.253316486759594
92,2019-04-03,0.01793,8.199909215325583
93,2019-04-04,0.0,0.0
94,2019-04-05,0.02466,11.27773347740819
95,2019-04-06,0.0,0.0
96,2019-04-07,0.02017,9.224326205974176
97,2019-04-08,0.01121,5.126658243379797
98,2019-04-09,0.0,0.0
99,2019-04-10,0.03139,14.355557739490798
100,2019-04-11,0.0,0.0
101,2019-04-12,0.0,0.0
102,2019-04-13,0.0,0.0
103,2019-04-14,0.0,0.0
104,2019-04-15,0.0,0.0
105,2019-04-16,0.0,0.0
106,2019-04-17,0.0,0.0
107,2019-04-18,0.0,0.0
108,2019-04-19,0.01569,7.1754922246769866
109,2019-04-20,0.0,0.0
110,2019-04-21,0.01569,7.1754922246769866
111,2019-04-22,0.0,0.0
112,2019-04-23,0.02466,11.27773347740819
113,2019-04-24,0.01121,5.126658243379797
114,2019-04-25,0.0,0.0
115,2019-04-26,0.0,0.0
116,2019-04-27,0.0,0.0
117,2019-04-28,0.0,0.0
118,2019-04-29,0.0,0.0
119,2019-04-30,0.01569,7.1754922246769866
120,2019-05-01,0.0,0.0
121,2019-05-02,0.0,0.0
122,2019-05-03,0.0,0.0
123,2019-05-04,0.0,0.0
124,2019-05-05,0.0,0.0
125,2019-05-06,0.0,0.0
126,2019-05-07,0.0,0.0
127,2019-05-08,0.0,0.0
128,2019-05-09,0.0,0.0
129,2019-05-10,0.0,0.0
130,2019-05-11,0.01345,6.151075234028393
131,2019-05-12,0.0,0.0
132,2019-05-13,0.01121,5.126658243379797
133,2019-05-14,0.0,0.0
134,2019-05-15,0.0,0.0
135,2019-05-16,0.0,0.0
136,2019-05-17,0.0,0.0
