,date,마뗑킴,마뗑킴_absolute
0,2019-01-01,0.23315,84.62851583774618
1,2019-01-02,0.28923,104.98436901458857
2,2019-01-03,0.29808,108.1967317217044
3,2019-01-04,0.39842,144.61802822249552
4,2019-01-05,0.29218,106.05515658362718
5,2019-01-06,0.27742,100.69758895006453
6,2019-01-07,0.44565,161.7615186922221
7,2019-01-08,0.37481,136.04809788181703
8,2019-01-09,0.48992,177.83059180454046
9,2019-01-10,0.31579,114.62508692430566
10,2019-01-11,0.30398,110.3383068597816
11,2019-01-12,0.21839,79.27094820418351
12,2019-01-13,0.24496,88.91529590227023
13,2019-01-14,0.32169,116.76666206238286
14,2019-01-15,0.38662,140.3348779463411
15,2019-01-16,0.42794,155.33316348962083
16,2019-01-17,0.31284,113.55429935526706
17,2019-01-18,0.36006,130.694160036624
18,2019-01-19,0.23905,86.7700909758234
19,2019-01-20,0.24496,88.91529590227023
20,2019-01-21,0.788,286.02732352624486
21,2019-01-22,0.42794,155.33316348962083
22,2019-01-23,0.56075,203.54038282657586
23,2019-01-24,0.51058,185.32973457618033
24,2019-01-25,0.64929,235.6785290512126
25,2019-01-26,0.39252,142.4764530844183
26,2019-01-27,0.66404,241.0324668964056
27,2019-01-28,0.60207,218.53866836985563
28,2019-01-29,0.36891,133.90652274373983
29,2019-01-30,0.45745,166.04466896837653
30,2019-01-31,0.51648,187.47130971425756
31,2019-02-01,0.61387,222.82181864601006
32,2019-02-02,0.33645,122.12422969594554
33,2019-02-03,0.39547,143.54724065345692
34,2019-02-04,0.28037,101.76837651910313
35,2019-02-05,0.25971,94.26923374746326
36,2019-02-06,0.37481,136.04809788181703
37,2019-02-07,0.53123,192.82524755945056
38,2019-02-08,0.6729,244.2484593918911
39,2019-02-09,0.39252,142.4764530844183
40,2019-02-10,0.62568,227.10859871053412
41,2019-02-11,0.61977,224.9633937840873
42,2019-02-12,0.46335,168.18624410645373
43,2019-02-13,0.38662,140.3348779463411
44,2019-02-14,0.54894,199.25360276205183
45,2019-02-15,0.35415,128.5489551101772
46,2019-02-16,0.26266,95.34002131650188
47,2019-02-17,1.33105,483.1429809385891
48,2019-02-18,1.47566,535.6333505516985
49,2019-02-19,1.13331,411.36754571767585
50,2019-02-20,0.83227,302.0963966385632
51,2019-02-21,0.69946,253.88917730160813
52,2019-02-22,0.5578,202.46959525753726
53,2019-02-23,0.50172,182.1137420806949
54,2019-02-24,0.60797,220.68024350793286
55,2019-02-25,0.66109,239.961679327367
56,2019-02-26,0.76439,277.4573931855664
57,2019-02-27,1.21299,440.28969944682706
58,2019-02-28,0.5578,202.46959525753726
59,2019-03-01,0.48401,175.68538687809362
60,2019-03-02,0.54894,199.25360276205183
61,2019-03-03,0.71717,260.3175325042094
62,2019-03-04,1.05362,382.4417622001549
63,2019-03-05,0.71717,260.3175325042094
64,2019-03-06,0.7762,281.7441732500904
65,2019-03-07,0.88539,321.3778324579974
66,2019-03-08,0.61387,222.82181864601006
67,2019-03-09,0.41023,148.90480828701956
68,2019-03-10,0.48696,176.75617444713222
69,2019-03-11,0.62863,228.17938627957273
70,2019-03-12,0.74078,268.88746284488786
71,2019-03-13,0.91491,332.09296772512266
72,2019-03-14,0.86178,312.80790211731886
73,2019-03-15,0.52533,190.68367242137333
74,2019-03-16,0.37777,137.12251523922527
75,2019-03-17,0.5637,204.6111703956145
76,2019-03-18,0.7762,281.7441732500904
77,2019-03-19,0.72307,262.4591076422866
78,2019-03-20,1.07428,389.9409049717948
79,2019-03-21,0.52533,190.68367242137333
80,2019-03-22,0.82342,298.8840339314474
81,2019-03-23,0.46335,168.18624410645373
82,2019-03-24,0.6729,244.2484593918911
83,2019-03-25,0.98279,356.7319711781195
84,2019-03-26,1.03591,376.0134069975537
85,2019-03-27,0.81161,294.5972538669233
86,2019-03-28,0.58141,211.03952559821576
87,2019-03-29,0.5755,208.89432067176892
88,2019-03-30,0.30398,110.3383068597816
89,2019-03-31,0.46926,170.3314490329006
90,2019-04-01,0.6729,244.2484593918911
91,2019-04-02,1.37236,498.13763669349925
92,2019-04-03,0.81456,295.6680414359619
93,2019-04-04,0.70241,254.95996487064676
94,2019-04-05,0.60207,218.53866836985563
95,2019-04-06,0.3335,121.05344212690693
96,2019-04-07,0.50467,183.18452964973346
97,2019-04-08,0.59026,214.2518883053316
98,2019-04-09,1.04182,378.1586119240005
99,2019-04-10,0.61092,221.75103107697146
100,2019-04-11,0.84703,307.45396427212586
101,2019-04-12,0.71127,258.1759573661322
102,2019-04-13,0.37481,136.04809788181703
103,2019-04-14,0.46926,170.3314490329006
104,2019-04-15,0.6729,244.2484593918911
105,2019-04-16,0.57846,209.96873802917713
106,2019-04-17,0.63748,231.39174898668855
107,2019-04-18,0.75849,275.31581804748913
108,2019-04-19,0.5755,208.89432067176892
109,2019-04-20,0.37186,134.97731031277846
110,2019-04-21,0.45155,163.90309383029933
111,2019-04-22,0.59912,217.46788080081703
112,2019-04-23,0.90901,329.95139258704546
113,2019-04-24,0.62568,227.10859871053412
114,2019-04-25,0.92081,334.2345428631999
115,2019-04-26,0.69061,250.6768145944923
116,2019-04-27,0.37777,137.12251523922527
117,2019-04-28,0.47221,171.4022366019392
118,2019-04-29,0.80866,293.5264662978847
119,2019-04-30,0.83227,302.0963966385632
120,2019-05-01,0.62273,226.0378111414955
121,2019-05-02,0.60207,218.53866836985563
122,2019-05-03,0.53123,192.82524755945056
123,2019-05-04,0.36596,132.83573517470123
124,2019-05-05,0.41908,152.1171709941354
125,2019-05-06,0.46926,170.3314490329006
126,2019-05-07,0.93557,339.5921104967626
127,2019-05-08,0.63158,229.25017384861133
128,2019-05-09,0.78505,284.95653595720626
129,2019-05-10,0.67585,245.31924696092966
130,2019-05-11,0.34235,124.26580483402275
131,2019-05-12,0.38367,139.2640903773025
132,2019-05-13,0.68175,247.46082209900686
133,2019-05-14,0.62863,228.17938627957273
134,2019-05-15,0.82637,299.954821500486
135,2019-05-16,0.5696,206.7527455336917
136,2019-05-17,0.84703,307.45396427212586
137,2019-05-18,0.43089,156.40395105865943
138,2019-05-19,0.44269,160.68710133481386
139,2019-05-20,0.76144,276.3866056165278
140,2019-05-21,0.64043,232.46253655572716
141,2019-05-22,0.8913,323.5230373844442
142,2019-05-23,0.58436,212.11031316725436
143,2019-05-24,0.47516,172.4730241709778
144,2019-05-25,0.32169,116.76666206238286
145,2019-05-26,0.37777,137.12251523922527
146,2019-05-27,0.48401,175.68538687809362
147,2019-05-28,0.37481,136.04809788181703
148,2019-05-29,1.07723,391.0116925408334
149,2019-05-30,0.66995,243.17767182285246
150,2019-05-31,0.87064,316.0238946128043
151,2019-06-01,0.54009,196.041240054936
152,2019-06-02,0.88539,321.3778324579974
153,2019-06-03,0.8972,325.6646125225214
154,2019-06-04,1.13921,413.50912085575305
155,2019-06-05,0.95918,348.16204083744105
156,2019-06-06,0.66404,241.0324668964056
157,2019-06-07,0.65519,237.82010418928982
158,2019-06-08,0.54009,196.041240054936
159,2019-06-09,0.49877,181.04295451165626
160,2019-06-10,0.69946,253.88917730160813
161,2019-06-11,0.85883,311.73711454828026
162,2019-06-12,0.76734,278.528180754605
163,2019-06-13,0.77029,279.5989683236436
164,2019-06-14,0.64634,234.607741482174
165,2019-06-15,0.60502,219.60945593889423
166,2019-06-16,0.69356,251.74760216353093
167,2019-06-17,0.73488,266.74588770681066
168,2019-06-18,1.18643,430.64898153711005
169,2019-06-19,0.87064,316.0238946128043
170,2019-06-20,1.18053,428.5074063990328
171,2019-06-21,0.8972,325.6646125225214
172,2019-06-22,0.54009,196.041240054936
173,2019-06-23,0.4545,164.97388139933793
174,2019-06-24,0.84112,305.308759345679
175,2019-06-25,0.70536,256.03075243968533
176,2019-06-26,0.61092,221.75103107697146
177,2019-06-27,0.51058,185.32973457618033
178,2019-06-28,0.48106,174.614599309055
