,date,칼하트,칼하트_absolute
125,2019-05-06,3.57371,4520.48362439332
126,2019-05-07,3.55895,4501.813296276027
127,2019-05-08,3.61799,4576.494608745194
128,2019-05-09,3.28834,4159.511298185226
129,2019-05-10,2.91522,3687.541594450555
130,2019-05-11,3.43594,4346.21457935814
131,2019-05-12,3.75002,4743.502970623647
132,2019-05-13,3.50565,4434.392666963587
133,2019-05-14,3.19403,4040.215997050962
134,2019-05-15,3.29244,4164.69750044003
135,2019-05-16,3.34492,4231.080889301511
136,2019-05-17,2.93654,3714.509846175531
137,2019-05-18,3.3113,4188.554030812124
138,2019-05-19,4.29698,5435.367649961973
139,2019-05-20,3.78118,4782.9181077601515
140,2019-05-21,3.50647,4435.429907414547
141,2019-05-22,3.3892,4287.091873653385
142,2019-05-23,3.26045,4124.232473578773
143,2019-05-24,3.07595,3890.853372112631
144,2019-05-25,3.30392,4179.218866753479
145,2019-05-26,4.06245,5138.704231713441
146,2019-05-27,3.4015,4302.650480417794
147,2019-05-28,3.07923,3895.002333916473
148,2019-05-29,2.97098,3758.073945115878
149,2019-05-30,2.72989,3453.11260325966
150,2019-05-31,2.5093,3174.0822726774572
151,2019-06-01,3.04397,3850.400994525166
152,2019-06-02,3.46382,4381.480754690802
153,2019-06-03,3.14073,3972.795367738521
154,2019-06-04,2.97262,3760.148426017799
155,2019-06-05,3.25635,4119.046271323969
156,2019-06-06,4.99975,6324.320664256612
157,2019-06-07,3.14729,3981.0932913462057
158,2019-06-08,3.04971,3857.661677681891
159,2019-06-09,3.78364,4786.029829113034
160,2019-06-10,3.44332,4355.549743416786
161,2019-06-11,2.91522,3687.541594450555
162,2019-06-12,2.79959,3541.278041591313
163,2019-06-13,2.82666,3575.5196257468065
164,2019-06-14,2.58147,3265.372081635785
165,2019-06-15,2.86438,3623.2326864909955
166,2019-06-16,3.17927,4021.54566893367
167,2019-06-17,2.8898,3655.387140470775
168,2019-06-18,3.09481,3914.7099024847253
169,2019-06-19,2.62083,3315.1596232818956
170,2019-06-20,2.48388,3141.9278186976776
171,2019-06-21,2.65363,3356.649241320321
172,2019-06-22,2.74137,3467.633969573108
173,2019-06-23,3.18829,4032.9553138942374
174,2019-06-24,2.78319,3520.5332325721006
175,2019-06-25,2.68725,3399.176099809707
176,2019-06-26,3.00132,3796.4518418014213
177,2019-06-27,2.48224,3139.8533377957565
178,2019-06-28,2.22229,2811.0354655674437
179,2019-06-29,2.63723,3335.9044323011085
180,2019-06-30,2.86356,3622.195446040035
181,2019-07-01,2.74793,3475.931893180794
182,2019-07-02,2.77663,3512.2353089644157
183,2019-07-03,2.55932,3237.3539401860558
184,2019-07-04,2.72415,3445.851920102935
185,2019-07-05,2.66101,3365.9844053789666
186,2019-07-06,2.82912,3578.6313470996884
187,2019-07-07,3.18665,4030.8808329923168
188,2019-07-08,2.82912,3578.6313470996884
189,2019-07-09,2.68971,3402.2878211625884
190,2019-07-10,2.70529,3421.995389730841
191,2019-07-11,2.5257,3194.82708169667
192,2019-07-12,2.37482,3003.974838719914
193,2019-07-13,2.64051,3340.0533941049507
194,2019-07-14,3.07349,3887.741650759749
195,2019-07-15,2.9103,3681.3181517447906
196,2019-07-16,3.11695,3942.7153946606627
197,2019-07-17,3.62537,4585.82977280384
198,2019-07-18,3.77708,4777.731905505349
199,2019-07-19,3.72951,4717.559310075839
200,2019-07-20,5.37943,6804.58829159897
201,2019-07-21,13.37149,16913.96380197023
202,2019-07-22,5.39829,6828.444821971064
203,2019-07-23,4.47821,5664.610438898066
204,2019-07-24,3.8476,4866.934584287963
205,2019-07-25,3.66637,4637.6917953518705
206,2019-07-26,3.23995,4098.3014623047575
207,2019-07-27,3.25635,4119.046271323969
208,2019-07-28,3.55813,4500.776055825067
209,2019-07-29,3.61061,4567.159444686547
210,2019-07-30,3.52943,4464.472640041445
211,2019-07-31,3.28588,4156.399576832345
212,2019-08-01,3.42364,4330.655972593731
213,2019-08-02,3.45726,4373.182831083118
214,2019-08-03,3.7902,4794.327752720718
215,2019-08-04,3.8517,4872.120786542766
216,2019-08-05,3.74756,4740.391249270766
217,2019-08-06,3.9501,4996.589640658041
218,2019-08-07,3.72869,4716.522069624879
219,2019-08-08,3.69589,4675.032451586453
220,2019-08-09,3.56059,4503.887777177949
221,2019-08-10,3.44004,4351.400781612944
222,2019-08-11,4.00095,5060.9111978913925
223,2019-08-12,3.97963,5033.942946166417
224,2019-08-13,3.9665,5017.334449677254
225,2019-08-14,3.56059,4503.887777177949
226,2019-08-15,4.00587,5067.134640597156
227,2019-08-16,3.60979,4566.122204235587
228,2019-08-17,3.88942,4919.833847286955
229,2019-08-18,4.10591,5193.677975614353
230,2019-08-19,3.90254,4936.429694502325
231,2019-08-20,4.00177,5061.948438342353
232,2019-08-21,4.05753,5132.480789007676
233,2019-08-22,3.91976,4958.211743972499
234,2019-08-23,3.73854,4728.981604310198
235,2019-08-24,4.17725,5283.917894847929
236,2019-08-25,4.83164,6111.67372253589
237,2019-08-26,4.57087,5781.8186098566175
238,2019-08-27,4.54217,5745.515194072995
239,2019-08-28,4.46673,5650.089072584617
240,2019-08-29,4.50035,5692.615931074003
241,2019-08-30,4.11493,5205.087620574921
242,2019-08-31,4.53807,5740.328991818192
243,2019-09-01,5.41797,6853.33859279412
244,2019-09-02,5.07847,6423.895747548833
245,2019-09-03,5.38681,6813.923455657615
246,2019-09-04,4.71274,5961.273857146599
247,2019-09-05,4.91447,6216.447657356706
248,2019-09-06,4.47821,5664.610438898066
249,2019-09-07,5.34662,6763.086024286751
250,2019-09-08,5.54015,7007.8874199872525
251,2019-09-09,4.58973,5805.675140228712
252,2019-09-10,4.21088,5326.457402611108
253,2019-09-11,3.77544,4775.657424603427
254,2019-09-12,4.50937,5704.025576034569
255,2019-09-13,5.07109,6414.560583490187
256,2019-09-14,5.85013,7399.989608997957
257,2019-09-15,5.72056,7236.092968472384
258,2019-09-16,5.38681,6813.923455657615
259,2019-09-17,4.9038,6202.950882220426
260,2019-09-18,4.8956,6192.578477710819
261,2019-09-19,4.96203,6276.607603512423
262,2019-09-20,4.62171,5846.127517816177
263,2019-09-21,5.1818,6554.600693643665
264,2019-09-22,6.156,7786.892946480065
265,2019-09-23,5.49095,6945.652992929615
266,2019-09-24,5.10389,6456.050201528612
267,2019-09-25,5.02353,6354.400637334471
268,2019-09-26,4.59465,5811.898582934475
269,2019-09-27,3.92058,4959.248984423459
270,2019-09-28,4.43884,5614.810247978163
271,2019-09-29,6.15026,7779.632263323341
272,2019-09-30,5.28266,6682.181269111822
273,2019-10-01,5.07109,6414.560583490187
274,2019-10-02,4.76604,6028.6944864590405
275,2019-10-03,5.35154,6769.309466992516
276,2019-10-04,5.00221,6327.432385609494
277,2019-10-05,4.86608,6155.2378214762375
278,2019-10-06,5.48521,6938.392309772891
279,2019-10-07,5.837,7383.381112508794
280,2019-10-08,5.48357,6936.3178288709705
281,2019-10-09,5.42535,6862.673756852765
282,2019-10-10,5.41879,6854.375833245081
283,2019-10-11,4.64795,5879.319212246916
284,2019-10-12,4.95465,6267.272439453777
285,2019-10-13,5.10717,6460.199163332455
286,2019-10-14,5.01369,6341.953751922943
287,2019-10-15,5.04895,6386.55509131425
288,2019-10-16,5.34908,6766.1977456396335
289,2019-10-17,4.96531,6280.756565316266
290,2019-10-18,4.36012,5515.235164685942
291,2019-10-19,4.4208,5591.990958057029
292,2019-10-20,4.90462,6203.988122671387
293,2019-10-21,4.95301,6265.197958551856
294,2019-10-22,4.46755,5651.126313035577
295,2019-10-23,4.15265,5252.8006813191105
296,2019-10-24,4.11247,5201.9758992220395
297,2019-10-25,3.67293,4645.989718959556
298,2019-10-26,4.17315,5278.731692593125
299,2019-10-27,5.09241,6441.528835215164
300,2019-10-28,5.06125,6402.11369807866
301,2019-10-29,4.81114,6085.742711261874
302,2019-10-30,4.74554,6002.763475185024
303,2019-10-31,4.21908,5336.829807120714
304,2019-11-01,4.34536,5496.564836568651
305,2019-11-02,4.77916,6045.29033367441
306,2019-11-03,5.47209,6921.7964625575205
307,2019-11-04,4.88248,6175.9826304954495
308,2019-11-05,4.83,6109.5992416339695
309,2019-11-06,4.93333,6240.304187728801
310,2019-11-07,4.69224,5935.342845872583
311,2019-11-08,4.44787,5626.232542212522
312,2019-11-09,4.81606,6091.966153967639
313,2019-11-10,5.6115,7098.139988494621
314,2019-11-11,4.85706,6143.82817651567
315,2019-11-12,5.09323,6442.566075666125
316,2019-11-13,4.75702,6017.284841498473
317,2019-11-14,4.68896,5931.19388406874
318,2019-11-15,4.04031,5110.698739537504
319,2019-11-16,4.04687,5118.996663145189
320,2019-11-17,4.7562,6016.247601047512
321,2019-11-18,4.45525,5635.567706271168
322,2019-11-19,4.01243,5075.4325642048425
323,2019-11-20,3.85088,4871.083546091805
324,2019-11-21,3.48268,4405.337285062897
325,2019-11-22,3.03084,3833.792498036004
326,2019-11-23,3.19649,4043.327718403844
327,2019-11-24,3.88614,4915.684885483112
328,2019-11-25,3.81234,4822.333244896655
329,2019-11-26,3.87958,4907.386961875427
330,2019-11-27,3.72623,4713.4103482719975
331,2019-11-28,3.64587,4611.760784077855
332,2019-11-29,3.79676,4802.625676328404
333,2019-11-30,3.98045,5034.980186617377
334,2019-12-01,4.70864,5956.087654891796
335,2019-12-02,4.01981,5084.767728263487
336,2019-12-03,3.46956,4388.741437847527
337,2019-12-04,3.4056,4307.836682672598
338,2019-12-05,3.53435,4470.6960827472085
339,2019-12-06,3.26455,4129.418675833576
340,2019-12-07,3.38346,4279.83119049666
341,2019-12-08,3.73443,4723.782752781603
342,2019-12-09,3.37034,4263.235343281291
343,2019-12-10,3.48924,4413.635208670582
344,2019-12-11,3.43184,4341.028377103337
345,2019-12-12,3.18911,4033.992554345198
346,2019-12-13,2.8652,3624.2699269419563
347,2019-12-14,3.13745,3968.646405934678
348,2019-12-15,3.57863,4526.707067099083
349,2019-12-16,3.23913,4097.264221853797
350,2019-12-17,3.28096,4150.176134126581
351,2019-12-18,3.22601,4080.6683746384265
352,2019-12-19,2.81272,3557.886538080476
353,2019-12-20,2.57737,3260.185879380982
354,2019-12-21,2.9308,3707.249163018807
355,2019-12-22,3.60897,4565.084963784626
356,2019-12-23,3.10383,3926.119547445292
357,2019-12-24,2.83732,3589.003751609295
358,2019-12-25,3.17271,4013.2477453259853
359,2019-12-26,2.98328,3773.6325518802873
360,2019-12-27,2.88324,3647.08921686309
361,2019-12-28,2.96934,3755.9994642139563
362,2019-12-29,3.30474,4180.256107204439
363,2019-12-30,3.09481,3914.7099024847253
364,2019-12-31,2.76597,3498.7511831019274
365,2020-01-01,3.22601,4080.6683746384265
366,2020-01-02,3.3687,4261.160862379369
367,2020-01-03,3.09153,3910.560940680883
368,2020-01-04,3.61799,4576.494608745194
369,2020-01-05,3.76068,4756.987096486136
370,2020-01-06,3.46218,4379.406273788881
371,2020-01-07,3.45234,4366.959388377353
372,2020-01-08,3.52205,4455.1374759827995
373,2020-01-09,3.57125,4517.371903040437
374,2020-01-10,3.89106,4921.908328188876
375,2020-01-11,3.79512,4800.551195426482
376,2020-01-12,4.27812,5411.51111958988
377,2020-01-13,5.17852,6550.451731839822
378,2020-01-14,4.71274,5961.273857146599
379,2020-01-15,4.56021,5768.334483994128
380,2020-01-16,4.4372,5612.735767076241
381,2020-01-17,4.4126,5581.618553547423
382,2020-01-18,8.04372,10174.721658781778
383,2020-01-19,27.13168,34319.60487624338
384,2020-01-20,9.26065,11714.049734376318
385,2020-01-21,6.85795,8674.808720323743
386,2020-01-22,5.32858,6740.266734365618
387,2020-01-23,4.61269,5834.717872855609
388,2020-01-24,4.90791,6208.149733749022
389,2020-01-25,5.62626,7116.810316611913
390,2020-01-26,6.28474,7949.739697280885
391,2020-01-27,6.84565,8659.250113559334
392,2020-01-28,6.21914,7866.760461204034
393,2020-01-29,5.87719,7434.218543879658
394,2020-01-30,5.39747,6827.407581520104
395,2020-01-31,4.7644,6026.620005557119
396,2020-02-01,5.09405,6443.603316117085
397,2020-02-02,5.51391,6974.695725556513
398,2020-02-03,5.15146,6516.222796958122
399,2020-02-04,4.84722,6131.381291104142
400,2020-02-05,4.76768,6030.768967360961
401,2020-02-06,4.70782,5955.050414440835
402,2020-02-07,4.40604,5573.320629939738
403,2020-02-08,4.94891,6260.011756297053
404,2020-02-09,5.51965,6981.9564087132385
405,2020-02-10,5.35974,6779.681871502123
406,2020-02-11,5.53195,6997.5150154776475
407,2020-02-12,5.7058,7217.422640355093
408,2020-02-13,5.19656,6573.271021760956
409,2020-02-14,4.88986,6185.317794554095
410,2020-02-15,4.89642,6193.61571816178
411,2020-02-16,5.35154,6769.309466992516
412,2020-02-17,4.72176,5972.683502107166
413,2020-02-18,5.19492,6571.196540859035
414,2020-02-19,4.79802,6069.146864046505
415,2020-02-20,4.11083,5199.901418320118
416,2020-02-21,4.01571,5079.581526008685
417,2020-02-22,4.3306,5477.894508451359
418,2020-02-23,4.80048,6072.258585399387
419,2020-02-24,4.48559,5673.945602956712
420,2020-02-25,4.69306,5936.380086323544
421,2020-02-26,4.54627,5750.701396327798
422,2020-02-27,4.43884,5614.810247978163
423,2020-02-28,4.30272,5442.628333118698
424,2020-02-29,4.2445,5368.984261100493
425,2020-03-01,5.33104,6743.3784557185
426,2020-03-02,4.54709,5751.7386367787585
427,2020-03-03,4.51265,5708.174537838412
428,2020-03-04,4.23466,5356.537375688966
429,2020-03-05,4.31748,5461.298661235989
430,2020-03-06,3.89598,4928.13177089464
431,2020-03-07,4.02555,5092.028411420212
432,2020-03-08,4.61023,5831.606151502727
433,2020-03-09,4.50363,5696.764892877845
434,2020-03-10,4.80868,6082.630989908993
435,2020-03-11,4.43638,5611.6985266252805
436,2020-03-12,4.25762,5385.580108315863
437,2020-03-13,4.03457,5103.43805638078
438,2020-03-14,3.87876,4906.349721424467
439,2020-03-15,4.46181,5643.865629878853
440,2020-03-16,4.13789,5234.130353201818
441,2020-03-17,3.79922,4805.737397681285
442,2020-03-18,3.8763,4903.238000071585
443,2020-03-19,3.85088,4871.083546091805
444,2020-03-20,3.49662,4422.970372729227
445,2020-03-21,3.56387,4508.036738981792
446,2020-03-22,4.10673,5194.715216065314
447,2020-03-23,3.99111,5048.464312479866
448,2020-03-24,4.97023,6286.980008022029
449,2020-03-25,3.96978,5021.483411481097
450,2020-03-26,3.86072,4883.530431503333
451,2020-03-27,3.69179,4669.84624933165
452,2020-03-28,4.04031,5110.698739537504
453,2020-03-29,4.12969,5223.757948692212
454,2020-03-30,3.7902,4794.327752720718
455,2020-03-31,3.62783,4588.941494156721
456,2020-04-01,4.56021,5768.334483994128
457,2020-04-02,3.50318,4431.2682963369125
458,2020-04-03,3.48186,4404.300044611937
459,2020-04-04,3.7615,4758.024336937096
460,2020-04-05,4.18381,5292.215818455615
461,2020-04-06,3.89106,4921.908328188876
462,2020-04-07,3.8107,4820.258763994734
463,2020-04-08,3.48678,4410.5234873177
464,2020-04-09,3.30228,4177.144385851558
