,date,브룩스브라더스,브룩스브라더스_absolute
125,2019-05-06,9.19617,1078.3469538338782
126,2019-05-07,7.71291,904.41923145123
127,2019-05-08,7.75119,908.907961149872
128,2019-05-09,7.33971,860.6576347027136
129,2019-05-10,7.83732,919.0076029718166
130,2019-05-11,8.11483,951.5485480781422
131,2019-05-12,9.33014,1094.0563351747107
132,2019-05-13,9.56937,1122.1085505823944
133,2019-05-14,8.75598,1026.7300801127383
134,2019-05-15,9.56937,1122.1085505823944
135,2019-05-16,8.56459,1004.2876042239427
136,2019-05-17,8.22009,963.8913821449935
137,2019-05-18,9.91387,1162.5047726613436
138,2019-05-19,10.68899,1253.3956860367725
139,2019-05-20,9.56937,1122.1085505823944
140,2019-05-21,8.39234,984.0894931844681
141,2019-05-22,8.08612,948.1820008041607
142,2019-05-23,7.9043,926.8617073400256
143,2019-05-24,9.4354,1106.3991692415618
144,2019-05-25,9.46411,1109.7657165155433
145,2019-05-26,9.89473,1160.2604078120225
146,2019-05-27,9.88516,1159.1382253873624
147,2019-05-28,8.86124,1039.0729141795894
148,2019-05-29,8.5933,1007.6541514979241
149,2019-05-30,8.20095,961.6470172956724
150,2019-05-31,6.89952,809.0407609815737
151,2019-06-01,7.77033,911.1523259991931
152,2019-06-02,9.00478,1055.9044779450826
153,2019-06-03,9.57894,1123.2307330070548
154,2019-06-04,8.35406,979.6007634858261
155,2019-06-05,7.20574,844.9482533618809
156,2019-06-06,9.01435,1057.026660369743
157,2019-06-07,7.83732,919.0076029718166
158,2019-06-08,7.6555,897.6873095076813
159,2019-06-09,8.70813,1021.1191679894358
160,2019-06-10,8.82296,1034.5841844809474
161,2019-06-11,8.13397,953.7929129274632
162,2019-06-12,6.88995,807.9185785569132
163,2019-06-13,7.46411,875.2448336188858
164,2019-06-14,6.74641,791.0870147914201
165,2019-06-15,7.69377,902.1748666019089
166,2019-06-16,8.06698,945.9376359548396
167,2019-06-17,7.91387,927.9838897646862
168,2019-06-18,7.33014,859.5354522780532
169,2019-06-19,7.28229,853.9245401547505
170,2019-06-20,7.62679,894.3207622336998
171,2019-06-21,7.03349,824.7501423224063
172,2019-06-22,7.27272,852.8023577300901
173,2019-06-23,7.88516,924.6173424907046
174,2019-06-24,8.22009,963.8913821449935
175,2019-06-25,7.83732,919.0076029718166
176,2019-06-26,7.13875,837.0929763892575
177,2019-06-27,6.83253,801.1854840089502
178,2019-06-28,6.21052,728.2483168236752
179,2019-06-29,7.5311,883.1001105915093
180,2019-06-30,8.47846,994.1879624019981
181,2019-07-01,7.63636,895.4429446583604
182,2019-07-02,7.46411,875.2448336188858
183,2019-07-03,6.88995,807.9185785569132
184,2019-07-04,6.66028,780.9873729694756
185,2019-07-05,6.53588,766.4001740533034
186,2019-07-06,7.46411,875.2448336188858
187,2019-07-07,8.64114,1013.2638910168122
188,2019-07-08,6.87081,805.6742137075922
189,2019-07-09,6.33492,742.8355157398473
190,2019-07-10,7.20574,844.9482533618809
191,2019-07-11,6.09569,714.7833003321637
192,2019-07-12,6.25837,733.8592289469777
193,2019-07-13,7.46411,875.2448336188858
194,2019-07-14,9.57894,1123.2307330070548
195,2019-07-15,6.75598,792.2091972160806
196,2019-07-16,7.5311,883.1001105915093
197,2019-07-17,6.88995,807.9185785569132
198,2019-07-18,6.53588,766.4001740533034
199,2019-07-19,5.96172,699.073918991331
200,2019-07-20,6.91866,811.2851258308948
201,2019-07-21,7.311,857.2910874287321
202,2019-07-22,7.13875,837.0929763892575
203,2019-07-23,7.01435,822.5057774730853
204,2019-07-24,7.17703,841.5817060878995
205,2019-07-25,6.53588,766.4001740533034
206,2019-07-26,5.74162,673.2648958285538
207,2019-07-27,6.31578,740.5911508905263
208,2019-07-28,7.4354,871.8782863449042
209,2019-07-29,6.31578,740.5911508905263
210,2019-07-30,6.30622,739.4701410702802
211,2019-07-31,6.21052,728.2483168236752
