,date,헨리코튼,헨리코튼_absolute
298,2019-10-26,19.40669,2275.637036450869
299,2019-10-27,25.04306,2936.560270816986
300,2019-10-28,20.54545,2409.1685367545674
301,2019-10-29,16.22966,1903.0970961562844
302,2019-10-30,15.54066,1822.3046519983861
303,2019-10-31,14.07655,1650.6224670694733
304,2019-11-01,14.61244,1713.461165037218
305,2019-11-02,15.74162,1845.8693103118421
306,2019-11-03,19.39712,2274.5148540262085
307,2019-11-04,15.24401,1787.5193420427393
308,2019-11-05,15.79904,1852.6024048598051
309,2019-11-06,14.68899,1722.4374518300879
310,2019-11-07,15.27272,1790.8858893167207
311,2019-11-08,13.96172,1637.1574505779615
312,2019-11-09,18.41148,2158.9382725170776
313,2019-11-10,22.97607,2694.1841109477045
314,2019-11-11,17.0909,2004.0864787492435
315,2019-11-12,16.66028,1953.591787452764
316,2019-11-13,18.68899,2191.479217623403
317,2019-11-14,20.33492,2384.481696016451
318,2019-11-15,18.73684,2197.0901297467058
319,2019-11-16,21.75119,2550.554141426476
320,2019-11-17,27.50239,3224.9423922841042
321,2019-11-18,19.24401,2256.5611078360544
322,2019-11-19,20.35406,2386.726060865772
323,2019-11-20,18.91866,2218.4104232108407
324,2019-11-21,15.76076,1848.113675161163
325,2019-11-22,25.97129,3045.404930382568
326,2019-11-23,20.23923,2373.26104437426
327,2019-11-24,30.39234,3563.8192050477023
328,2019-11-25,20.2488,2374.383226798921
329,2019-11-26,16.67942,1955.8361523020849
330,2019-11-27,16.1244,1890.7542620894337
331,2019-11-28,15.89473,1863.8230565019956
332,2019-11-29,15.99043,1875.044880748601
333,2019-11-30,19.94258,2338.4757344186137
334,2019-12-01,23.62679,2770.4878254069613
335,2019-12-02,17.21531,2018.6748502698297
336,2019-12-03,16.08612,1886.2655323907916
337,2019-12-04,15.67464,1838.0152059436332
338,2019-12-05,16.33492,1915.4399302231357
339,2019-12-06,16.33492,1915.4399302231357
340,2019-12-07,19.27272,2259.927655110036
341,2019-12-08,27.26315,3196.8890042720063
342,2019-12-09,17.63636,2068.0473591416485
343,2019-12-10,15.21531,1784.1539673731722
344,2019-12-11,14.91866,1749.3686574175254
345,2019-12-12,14.8421,1740.3911980202415
346,2019-12-13,16.58373,1944.6155006598942
347,2019-12-14,20.29665,2379.9941389222236
348,2019-12-15,22.63157,2653.7878888687555
349,2019-12-16,16.26794,1907.5858258549265
350,2019-12-17,15.99043,1875.044880748601
351,2019-12-18,13.93301,1633.79090330398
352,2019-12-19,14.73684,1728.0483639533904
353,2019-12-20,16.06698,1884.0211675414705
354,2019-12-21,17.67464,2072.5360888402906
355,2019-12-22,19.35885,2270.027296931981
356,2019-12-23,14.66028,1719.0709045561064
357,2019-12-24,13.11961,1538.4112602299094
358,2019-12-25,17.93301,2102.8326690972954
359,2019-12-26,14.45933,1695.5074188470644
360,2019-12-27,13.86602,1625.9356263313566
361,2019-12-28,15.68421,1839.1373883682936
362,2019-12-29,16.28708,1909.8301907042476
363,2019-12-30,17.17703,2014.1861205711878
364,2019-12-31,12.99521,1523.8240613137373
365,2020-01-01,14.15311,1659.5999264667573
366,2020-01-02,12.81339,1502.5037678496021
367,2020-01-03,12.5933,1476.6959172912393
368,2020-01-04,15.5598,1824.549016847707
369,2020-01-05,17.22488,2019.7970326944903
370,2020-01-06,11.59808,1359.9959807530336
371,2020-01-07,11.19617,1312.8678367305358
372,2020-01-08,10.50717,1232.0753925726374
373,2020-01-09,11.23444,1317.3553938247633
374,2020-01-10,11.45454,1343.1644169875406
375,2020-01-11,16.63157,1950.2252401787823
376,2020-01-12,18.34449,2151.0829955444538
377,2020-01-13,14.46889,1696.6284286673106
378,2020-01-14,13.0909,1535.044712955928
379,2020-01-15,12.60287,1477.8180997159
380,2020-01-16,11.39712,1336.4313224395773
381,2020-01-17,10.40191,1219.7325585057863
382,2020-01-18,14.54545,1705.6058880645946
383,2020-01-19,15.79904,1852.6024048598051
384,2020-01-20,10.66985,1251.1513211874515
385,2020-01-21,10.79425,1265.7385201036236
386,2020-01-22,11.10047,1301.6460124839307
387,2020-01-23,9.67464,1134.4525572536602
388,2020-01-24,11.42583,1339.797869713559
389,2020-01-25,10.47846,1228.7088452986557
390,2020-01-26,13.21531,1549.6330844765146
391,2020-01-27,14.41148,1689.8965067237618
392,2020-01-28,11.46411,1344.286599412201
393,2020-01-29,11.11961,1303.8903773332518
394,2020-01-30,10.70813,1255.6400508860936
395,2020-01-31,11.03349,1293.7919081157218
396,2020-02-01,14.60287,1712.3389826125576
397,2020-02-02,13.85645,1624.8134439066962
398,2020-02-03,10.85167,1272.4716146515866
399,2020-02-04,10.03827,1177.091971577516
400,2020-02-05,11.25358,1319.5997586740843
401,2020-02-06,10.21052,1197.2900826169905
402,2020-02-07,10.1244,1187.1916133994605
403,2020-02-08,14.20095,1665.2096659856454
404,2020-02-09,16.81339,1971.5455336429172
405,2020-02-10,12.13397,1422.8346787207786
406,2020-02-11,12.13397,1422.8346787207786
407,2020-02-12,13.22488,1550.755266901175
408,2020-02-13,11.68421,1370.0956225749783
409,2020-02-14,11.80861,1384.6828214911504
410,2020-02-15,14.46889,1696.6284286673106
411,2020-02-16,15.35885,1800.9855311386652
412,2020-02-17,12.16267,1426.2000533903456
413,2020-02-18,10.54545,1236.5641222712793
414,2020-02-19,10.61244,1244.4193992439027
415,2020-02-20,11.15789,1308.379107031894
416,2020-02-21,10.9665,1285.936631143098
417,2020-02-22,12.3732,1450.8868941284625
