,date,헤지스,헤지스_absolute
124,2019-05-05,4.45128,3837.2339003678203
125,2019-05-06,4.87647,4203.769701777167
126,2019-05-07,4.73012,4077.608422028683
127,2019-05-08,4.81717,4152.650030515909
128,2019-05-09,3.97562,3427.19034501993
129,2019-05-10,3.72833,3214.0135573943576
130,2019-05-11,3.8444,3314.0719088832984
131,2019-05-12,4.42605,3815.4843336575077
132,2019-05-13,4.39324,3787.20041436439
133,2019-05-14,4.22165,3639.280947387675
134,2019-05-15,4.09548,3530.515872800274
135,2019-05-16,4.1245,3555.532615801989
136,2019-05-17,4.09674,3531.6020580581007
137,2019-05-18,3.72833,3214.0135573943576
138,2019-05-19,4.30997,3715.4173616506478
139,2019-05-20,4.10684,3540.3087811565615
140,2019-05-21,3.91506,3374.9844885008447
141,2019-05-22,4.09422,3529.4296875424457
142,2019-05-23,3.75987,3241.202670911728
143,2019-05-24,3.53781,3049.775449996468
144,2019-05-25,3.45454,2977.9923972827255
145,2019-05-26,4.0488,3490.2752951531315
146,2019-05-27,3.81791,3291.236156915158
147,2019-05-28,3.53781,3049.775449996468
148,2019-05-29,3.50753,3023.6725217369253
149,2019-05-30,3.20472,2762.6346186235783
150,2019-05-31,2.96121,2552.716386771489
151,2019-06-01,3.36369,2899.674991986178
152,2019-06-02,3.75104,3233.5907535890146
153,2019-06-03,3.63622,3134.609966839982
154,2019-06-04,3.47472,2995.388602443808
155,2019-06-05,3.6072,3109.5932238382675
156,2019-06-06,3.65767,3153.1009777768118
157,2019-06-07,3.5744,3081.3179250630687
158,2019-06-08,3.33215,2872.485878468807
159,2019-06-09,3.56557,3073.7060077403557
160,2019-06-10,3.4886,3007.3538813157516
161,2019-06-11,3.76491,3245.547411943039
162,2019-06-12,3.71192,3199.8672874888393
163,2019-06-13,3.58575,3091.1022129014377
164,2019-06-14,3.26907,2818.1076514340666
165,2019-06-15,3.48608,3005.181510800096
166,2019-06-16,3.74473,3228.1512067819567
167,2019-06-17,3.78132,3259.6936818485574
168,2019-06-18,3.78889,3266.219413913443
169,2019-06-19,3.73337,3218.358298425668
170,2019-06-20,3.87216,3338.0024666271856
171,2019-06-21,3.71066,3198.781102231011
172,2019-06-22,3.59206,3096.5417597084956
173,2019-06-23,4.03997,3482.6633778304185
174,2019-06-24,3.73716,3221.625474717071
175,2019-06-25,3.60973,3111.7742148718417
176,2019-06-26,3.65515,3150.9286072611562
177,2019-06-27,3.14037,2707.16158581309
178,2019-06-28,3.24005,2793.090908432351
179,2019-06-29,3.83809,3308.6323620762405
180,2019-06-30,3.96679,3419.5784276972167
181,2019-07-01,3.73968,3223.7978452327266
182,2019-07-02,4.88783,4213.562610133455
183,2019-07-03,3.84819,3317.3390851747013
184,2019-07-04,3.76744,3247.728402976614
185,2019-07-05,3.63244,3131.3514110664987
186,2019-07-06,3.61477,3116.1189559031527
187,2019-07-07,4.0324,3476.1376457655324
188,2019-07-08,4.11188,3544.6535221878726
189,2019-07-09,3.66776,3161.7990803573525
190,2019-07-10,3.98571,3435.8884476004714
191,2019-07-11,3.85197,3320.597640948184
192,2019-07-12,3.52645,3039.98254164018
193,2019-07-13,3.7523,3234.6769388468424
194,2019-07-14,4.20273,3622.97092748442
195,2019-07-15,3.86585,3332.5629198201277
196,2019-07-16,3.65515,3150.9286072611562
197,2019-07-17,4.12828,3558.7911715754717
198,2019-07-18,3.97814,3429.3627155355853
199,2019-07-19,3.36748,2902.9421682775805
200,2019-07-20,3.69804,3187.9020086168957
201,2019-07-21,3.86459,3331.4767345623004
202,2019-07-22,3.58575,3091.1022129014377
203,2019-07-23,3.51005,3025.844892252581
204,2019-07-24,3.48482,3004.0953255422683
205,2019-07-25,3.3801,2913.8212618916964
206,2019-07-26,3.18075,2741.9712371710934
207,2019-07-27,3.54033,3051.9478205121236
208,2019-07-28,3.86585,3332.5629198201277
209,2019-07-29,3.66019,3155.2733482924673
210,2019-07-30,3.4558,2979.0785825405533
211,2019-07-31,3.45832,2981.250953056209
212,2019-08-01,3.43687,2962.759942119379
213,2019-08-02,3.38388,2917.0798176651797
214,2019-08-03,3.47094,2992.1300466703246
215,2019-08-04,3.53276,3045.422088447238
216,2019-08-05,3.50879,3024.758706994753
217,2019-08-06,3.62487,3124.8256790016135
218,2019-08-07,3.74977,3232.4959478132673
219,2019-08-08,3.47346,2994.30241718598
220,2019-08-09,3.54412,3055.214996803526
221,2019-08-10,3.36496,2900.769797761925
222,2019-08-11,3.77248,3252.0731440079244
223,2019-08-12,3.99454,3443.500364923185
224,2019-08-13,3.88856,3352.140116014785
225,2019-08-14,3.66776,3161.7990803573525
226,2019-08-15,4.24436,3658.858143582332
227,2019-08-16,3.70688,3195.5225464575283
228,2019-08-17,3.62613,3125.911864259441
229,2019-08-18,4.07782,3515.2920381548465
230,2019-08-19,3.87721,3342.355828176416
231,2019-08-20,3.81034,3284.7104248502724
232,2019-08-21,3.97688,3428.276530277758
233,2019-08-22,3.77879,3257.5126908149828
234,2019-08-23,3.5643,3072.6112019646084
235,2019-08-24,3.98067,3431.5437065691603
236,2019-08-25,4.39829,3791.553775913621
237,2019-08-26,4.29483,3702.3658975208764
238,2019-08-27,4.19389,3615.3503896437874
239,2019-08-28,4.098,3532.688243315929
240,2019-08-29,4.01221,3458.7328200865304
241,2019-08-30,3.98445,3434.802262342643
242,2019-08-31,3.9731,3425.0179745042747
243,2019-09-01,5.04933,4352.78397452963
244,2019-09-02,5.15026,4439.790861888799
245,2019-09-03,4.88909,4214.648795391283
246,2019-09-04,4.61026,3974.2828942483397
247,2019-09-05,4.54591,3918.8098614378514
248,2019-09-06,4.18506,3607.738472321074
249,2019-09-07,4.88909,4214.648795391283
250,2019-09-08,5.23227,4510.487729344713
251,2019-09-09,4.4538,3839.4062708834763
252,2019-09-10,3.97183,3423.923168728528
