,date,마르디 메크르디,마르디 메크르디_absolute
135,2019-05-16,0.0177,6.424725414231642
136,2019-05-17,0.0177,6.424725414231642
137,2019-05-18,0.0,0.0
138,2019-05-19,0.0,0.0
139,2019-05-20,0.02361,8.569930340678479
140,2019-05-21,0.02951,10.711505478755694
141,2019-05-22,0.0,0.0
142,2019-05-23,0.0,0.0
143,2019-05-24,0.0177,6.424725414231642
144,2019-05-25,0.0,0.0
145,2019-05-26,0.0177,6.424725414231642
146,2019-05-27,0.0,0.0
147,2019-05-28,0.03246,11.7822930477943
148,2019-05-29,0.02951,10.711505478755694
149,2019-05-30,0.02361,8.569930340678479
150,2019-05-31,0.0,0.0
151,2019-06-01,0.0,0.0
152,2019-06-02,0.0,0.0
153,2019-06-03,0.01475,5.353937845193035
154,2019-06-04,0.02361,8.569930340678479
155,2019-06-05,0.02656,9.640717909717086
156,2019-06-06,0.02361,8.569930340678479
157,2019-06-07,0.02065,7.49551298327025
158,2019-06-08,0.02951,10.711505478755694
159,2019-06-09,0.0,0.0
160,2019-06-10,0.02951,10.711505478755694
161,2019-06-11,0.02065,7.49551298327025
162,2019-06-12,0.0,0.0
163,2019-06-13,0.02656,9.640717909717086
164,2019-06-14,0.0177,6.424725414231642
165,2019-06-15,0.0177,6.424725414231642
166,2019-06-16,0.02065,7.49551298327025
167,2019-06-17,0.0177,6.424725414231642
168,2019-06-18,0.04426,16.065443323948728
169,2019-06-19,0.0,0.0
170,2019-06-20,0.02951,10.711505478755694
171,2019-06-21,0.01475,5.353937845193035
172,2019-06-22,0.02361,8.569930340678479
173,2019-06-23,0.0,0.0
174,2019-06-24,0.0177,6.424725414231642
175,2019-06-25,0.04131,14.99465575491012
176,2019-06-26,0.02951,10.711505478755694
177,2019-06-27,0.02065,7.49551298327025
178,2019-06-28,0.02951,10.711505478755694
179,2019-06-29,0.02065,7.49551298327025
180,2019-06-30,0.02951,10.711505478755694
181,2019-07-01,0.05902,21.423010957511387
182,2019-07-02,0.03836,13.923868185871513
183,2019-07-03,0.04131,14.99465575491012
184,2019-07-04,0.04426,16.065443323948728
185,2019-07-05,0.06197,22.49379852654999
186,2019-07-06,0.02951,10.711505478755694
187,2019-07-07,0.03246,11.7822930477943
188,2019-07-08,0.03541,12.853080616832905
189,2019-07-09,0.06197,22.49379852654999
190,2019-07-10,0.05312,19.281435819434172
191,2019-07-11,0.05607,20.35222338847278
192,2019-07-12,0.04131,14.99465575491012
193,2019-07-13,0.02951,10.711505478755694
194,2019-07-14,0.04426,16.065443323948728
195,2019-07-15,0.05607,20.35222338847278
196,2019-07-16,0.14461,52.49036961310947
197,2019-07-17,0.05902,21.423010957511387
198,2019-07-18,0.06492,23.5645860955886
199,2019-07-19,0.05017,18.210648250395565
200,2019-07-20,0.04131,14.99465575491012
201,2019-07-21,0.03836,13.923868185871513
202,2019-07-22,0.03836,13.923868185871513
203,2019-07-23,0.07968,28.922153729151255
204,2019-07-24,0.03246,11.7822930477943
205,2019-07-25,0.03541,12.853080616832905
206,2019-07-26,0.03246,11.7822930477943
207,2019-07-27,0.04722,17.139860681356957
208,2019-07-28,0.02951,10.711505478755694
209,2019-07-29,0.03246,11.7822930477943
210,2019-07-30,0.04722,17.139860681356957
211,2019-07-31,0.02951,10.711505478755694
212,2019-08-01,0.05312,19.281435819434172
213,2019-08-02,0.03836,13.923868185871513
214,2019-08-03,0.03246,11.7822930477943
215,2019-08-04,0.04131,14.99465575491012
216,2019-08-05,0.03541,12.853080616832905
217,2019-08-06,0.02361,8.569930340678479
218,2019-08-07,0.04722,17.139860681356957
219,2019-08-08,0.03836,13.923868185871513
220,2019-08-09,0.02656,9.640717909717086
221,2019-08-10,0.03246,11.7822930477943
222,2019-08-11,0.02361,8.569930340678479
223,2019-08-12,0.03246,11.7822930477943
224,2019-08-13,0.02361,8.569930340678479
225,2019-08-14,0.02951,10.711505478755694
226,2019-08-15,0.02065,7.49551298327025
227,2019-08-16,0.0177,6.424725414231642
228,2019-08-17,0.0,0.0
229,2019-08-18,0.03541,12.853080616832905
230,2019-08-19,0.0,0.0
231,2019-08-20,0.02065,7.49551298327025
232,2019-08-21,0.02656,9.640717909717086
233,2019-08-22,0.0,0.0
234,2019-08-23,0.03246,11.7822930477943
235,2019-08-24,0.04426,16.065443323948728
236,2019-08-25,0.07968,28.922153729151255
237,2019-08-26,0.03541,12.853080616832905
238,2019-08-27,0.07083,25.709791022035436
239,2019-08-28,0.11805,42.84965170339239
240,2019-08-29,0.08263,29.992941298189862
241,2019-08-30,0.06197,22.49379852654999
242,2019-08-31,0.06492,23.5645860955886
243,2019-09-01,0.04722,17.139860681356957
244,2019-09-02,0.10329,37.49208406982974
245,2019-09-03,0.08853,32.13451643626708
246,2019-09-04,0.09444,34.279721362713914
247,2019-09-05,0.06492,23.5645860955886
248,2019-09-06,0.09444,34.279721362713914
249,2019-09-07,0.06197,22.49379852654999
250,2019-09-08,0.09149,33.20893379367531
251,2019-09-09,0.07968,28.922153729151255
252,2019-09-10,0.10329,37.49208406982974
253,2019-09-11,0.06788,24.639003452996825
254,2019-09-12,0.06788,24.639003452996825
255,2019-09-13,0.03836,13.923868185871513
256,2019-09-14,0.06788,24.639003452996825
257,2019-09-15,0.11215,40.708076565315174
258,2019-09-16,0.10624,38.562871638868344
259,2019-09-17,0.09444,34.279721362713914
260,2019-09-18,0.09149,33.20893379367531
261,2019-09-19,0.11215,40.708076565315174
262,2019-09-20,0.06788,24.639003452996825
263,2019-09-21,0.10329,37.49208406982974
264,2019-09-22,0.10919,39.633659207906945
265,2019-09-23,0.08558,31.06372886722847
266,2019-09-24,0.10919,39.633659207906945
267,2019-09-25,0.19773,71.77180543254364
268,2019-09-26,0.15642,56.77714967763353
269,2019-09-27,0.1151,41.77886413435378
