,date,시리즈,시리즈_absolute
123,2019-05-04,20.50717,2404.6798070559253
124,2019-05-05,21.17703,2483.227886364503
125,2019-05-06,25.04306,2936.560270816986
126,2019-05-07,24.27751,2846.7915398662176
127,2019-05-08,22.42105,2629.1022207350534
128,2019-05-09,21.32057,2500.059450129996
129,2019-05-10,22.46889,2634.711960253941
130,2019-05-11,19.60765,2299.2016947643247
131,2019-05-12,21.76076,2551.676323851136
132,2019-05-13,24.25837,2844.5471750168967
133,2019-05-14,21.55023,2526.9894831130196
134,2019-05-15,22.68899,2660.5209834167185
135,2019-05-16,21.92344,2570.7522524659503
136,2019-05-17,20.51674,2405.801989480586
137,2019-05-18,19.67464,2307.0569717369485
138,2019-05-19,21.39712,2509.035736922866
139,2019-05-20,21.99043,2578.6075294385737
140,2019-05-21,21.48325,2519.1353787448106
141,2019-05-22,21.67464,2541.577854633606
142,2019-05-23,20.0,2345.2088289665767
143,2019-05-24,19.79904,2321.644170653121
144,2019-05-25,16.88038,1979.4008106155409
145,2019-05-26,19.23444,2255.438925411394
146,2019-05-27,22.10526,2592.0725459300857
147,2019-05-28,20.69856,2427.1222829447215
148,2019-05-29,20.80382,2439.4651170115726
149,2019-05-30,19.35885,2270.027296931981
150,2019-05-31,18.88038,2213.9216935121985
151,2019-06-01,17.10047,2005.208661173904
152,2019-06-02,20.74641,2432.733195068024
153,2019-06-03,21.96172,2575.2409821645924
154,2019-06-04,20.56459,2411.4129016038887
155,2019-06-05,21.27272,2494.4485380066935
156,2019-06-06,20.42105,2394.5813378383955
157,2019-06-07,19.91387,2335.109187144632
158,2019-06-08,18.31578,2147.7164482704725
159,2019-06-09,20.10526,2357.5516630334278
160,2019-06-10,20.42105,2394.5813378383955
161,2019-06-11,18.34449,2151.0829955444538
162,2019-06-12,19.22488,2254.317915591148
163,2019-06-13,19.34928,2268.9051145073204
164,2019-06-14,17.78947,2086.0011053318026
165,2019-06-15,17.23444,2020.9180425147363
166,2019-06-16,18.55502,2175.7698362825704
167,2019-06-17,20.45933,2399.0700675370376
168,2019-06-18,20.07655,2354.1851157594465
169,2019-06-19,19.79904,2321.644170653121
170,2019-06-20,19.78947,2320.52198822846
171,2019-06-21,19.27272,2259.927655110036
172,2019-06-22,16.7177,1960.324882000727
173,2019-06-23,18.11483,2124.1529625614307
174,2019-06-24,20.46889,2400.1910773572836
175,2019-06-25,20.14354,2362.04039273207
176,2019-06-26,19.54066,2291.3464177917012
177,2019-06-27,18.53588,2173.5254714332495
178,2019-06-28,18.31578,2147.7164482704725
179,2019-06-29,18.31578,2147.7164482704725
180,2019-06-30,21.64593,2538.2113073596247
181,2019-07-01,21.49282,2520.2575611694706
182,2019-07-02,19.54066,2291.3464177917012
183,2019-07-03,18.57416,2178.0142011318912
184,2019-07-04,18.89952,2216.16605836152
185,2019-07-05,18.67942,2190.357035198743
186,2019-07-06,17.85645,2093.855209700011
187,2019-07-07,20.79425,2438.342934586912
188,2019-07-08,21.51196,2522.501926018792
189,2019-07-09,19.23444,2255.438925411394
190,2019-07-10,21.30143,2497.8150852806752
191,2019-07-11,19.98086,2342.964464117256
192,2019-07-12,18.53588,2173.5254714332495
193,2019-07-13,17.36842,2036.6285964599836
194,2019-07-14,20.1244,2359.796027882749
195,2019-07-15,20.68899,2426.0001005200606
196,2019-07-16,20.41148,2393.459155413735
197,2019-07-17,20.64114,2420.389188396758
198,2019-07-18,20.52631,2406.9241719052466
199,2019-07-19,19.73205,2313.788893680497
200,2019-07-20,17.99043,2109.5657636452584
201,2019-07-21,19.80861,2322.7663530777813
202,2019-07-22,20.44976,2397.947885112377
203,2019-07-23,20.40191,2392.3369729890746
204,2019-07-24,20.31578,2382.23733116713
205,2019-07-25,24.78468,2906.262517955567
206,2019-07-26,20.40191,2392.3369729890746
207,2019-07-27,17.52153,2054.582342650137
208,2019-07-28,19.48325,2284.6144958481527
209,2019-07-29,19.95215,2339.597916843274
