,date,타미힐피거,타미힐피거_absolute
0,2019-01-01,11.2998,9741.012838414186
1,2019-01-02,8.249,7111.065231603978
2,2019-01-03,7.93106,6836.984484878778
3,2019-01-04,7.6232,6571.5932202162
4,2019-01-05,8.1897,7059.94556034272
5,2019-01-06,8.98332,7744.087103451648
6,2019-01-07,9.29748,8014.909294403364
7,2019-01-08,8.78901,7576.581819762355
8,2019-01-09,8.91392,7684.260709091928
9,2019-01-10,8.4862,7315.543916649009
10,2019-01-11,8.13167,7009.920694857208
11,2019-01-12,8.87229,7648.373492994017
12,2019-01-13,10.26647,8850.22886026249
13,2019-01-14,9.32902,8042.098407920734
14,2019-01-15,8.86093,7638.580584637729
15,2019-01-16,8.75369,7546.134150471502
16,2019-01-17,8.29316,7149.133438735464
17,2019-01-18,8.36508,7211.132203610838
18,2019-01-19,8.99593,7754.957576547844
19,2019-01-20,10.63993,9172.170722475465
20,2019-01-21,9.3858,8091.045708666336
21,2019-01-22,9.28486,8004.030200789248
22,2019-01-23,8.95303,7717.975554674185
23,2019-01-24,10.09614,8703.395578543603
24,2019-01-25,9.27098,7992.064921917304
25,2019-01-26,9.12463,7865.90364216882
26,2019-01-27,11.11812,9584.395268856928
27,2019-01-28,11.31746,9756.236673059613
28,2019-01-29,9.49178,8182.405957574736
29,2019-01-30,9.02495,7779.974319549559
30,2019-01-31,8.23639,7100.1947585077805
31,2019-02-01,8.18087,7052.333643020006
32,2019-02-02,9.40346,8106.269543311764
33,2019-02-03,10.0709,8681.637391315371
34,2019-02-04,9.59398,8270.507650709653
35,2019-02-05,10.79386,9304.866354806752
36,2019-02-06,12.77473,11012.478887880747
37,2019-02-07,12.64604,10901.541442777689
38,2019-02-08,12.0379,10377.29326603534
39,2019-02-09,13.4939,11632.440675080725
40,2019-02-10,14.29382,12322.013144478793
41,2019-02-11,12.89207,11113.632045145434
42,2019-02-12,11.53195,9941.138161909987
43,2019-02-13,11.40578,9832.373087322585
44,2019-02-14,10.74718,9264.62577715961
45,2019-02-15,9.90562,8539.157471145714
46,2019-02-16,10.85316,9355.98602606801
47,2019-02-17,12.7495,10990.729321170433
48,2019-02-18,10.98816,9472.363017978127
49,2019-02-19,10.92003,9413.631429394154
50,2019-02-20,9.72898,8386.884642619767
51,2019-02-21,9.85894,8498.916893498572
52,2019-02-22,9.84632,8488.037799884456
53,2019-02-23,11.05629,9531.094606562097
54,2019-02-24,13.07628,11272.430605736266
55,2019-02-25,11.76915,10145.616846955018
56,2019-02-26,12.10603,10436.02485461931
57,2019-02-27,11.52312,9933.526244587274
58,2019-02-28,11.05755,9532.180791819925
59,2019-03-01,14.26859,12300.263577768479
60,2019-03-02,12.80753,11040.754186655944
61,2019-03-03,15.33725,13221.503845728948
62,2019-03-04,11.16858,9627.894402277554
