,date,포터리,포터리_absolute
214,2019-08-03,0.21544,78.20016063514491
215,2019-08-04,0.18593,67.48865515638923
216,2019-08-05,0.16527,59.98951238474935
217,2019-08-06,0.14461,52.49036961310947
218,2019-08-07,0.15937,57.84793724667214
219,2019-08-08,0.1151,41.77886413435378
220,2019-08-09,0.121,43.920439272431
221,2019-08-10,0.08558,31.06372886722847
222,2019-08-11,0.08853,32.13451643626708
223,2019-08-12,0.1151,41.77886413435378
224,2019-08-13,0.21249,77.12937306610631
225,2019-08-14,0.11215,40.708076565315174
226,2019-08-15,0.12985,47.13280197954682
227,2019-08-16,0.11805,42.84965170339239
228,2019-08-17,0.14166,51.41958204407087
229,2019-08-18,0.14461,52.49036961310947
230,2019-08-19,0.13576,49.27800690599365
231,2019-08-20,0.22134,80.34173577322213
232,2019-08-21,0.16232,58.91872481571074
233,2019-08-22,0.21839,79.27094820418351
234,2019-08-23,0.22134,80.34173577322213
235,2019-08-24,0.18593,67.48865515638923
236,2019-08-25,0.21839,79.27094820418351
237,2019-08-26,0.31284,113.55429935526706
238,2019-08-27,0.31874,115.69587449334428
239,2019-08-28,0.32464,117.83744963142148
240,2019-08-29,0.26857,97.4852262429487
241,2019-08-30,0.3394,123.19501726498413
242,2019-08-31,0.51058,185.32973457618033
243,2019-09-01,0.38072,138.1933028082639
244,2019-09-02,0.50762,184.2553172187721
245,2019-09-03,0.42499,154.26237592058223
246,2019-09-04,0.35711,129.6233724675854
247,2019-09-05,0.36006,130.694160036624
248,2019-09-06,0.35415,128.5489551101772
249,2019-09-07,0.36891,133.90652274373983
250,2019-09-08,0.32169,116.76666206238286
251,2019-09-09,0.28923,104.98436901458857
252,2019-09-10,0.36891,133.90652274373983
253,2019-09-11,0.25971,94.26923374746326
254,2019-09-12,0.31579,114.62508692430566
255,2019-09-13,0.46335,168.18624410645373
256,2019-09-14,0.29808,108.1967317217044
257,2019-09-15,0.36301,131.76494760566263
258,2019-09-16,0.28627,103.90995165718036
259,2019-09-17,0.27447,99.62680138102591
260,2019-09-18,0.47221,171.4022366019392
261,2019-09-19,0.50467,183.18452964973346
262,2019-09-20,0.49582,179.97216694261766
263,2019-09-21,0.69946,253.88917730160813
264,2019-09-22,0.43974,159.61631376577526
265,2019-09-23,0.36301,131.76494760566263
266,2019-09-24,0.37777,137.12251523922527
267,2019-09-25,0.29218,106.05515658362718
268,2019-09-26,0.29808,108.1967317217044
269,2019-09-27,0.27742,100.69758895006453
270,2019-09-28,0.3453,125.33659240306135
271,2019-09-29,0.27447,99.62680138102591
272,2019-09-30,0.28332,102.83916408814174
273,2019-10-01,0.33645,122.12422969594554
274,2019-10-02,0.35415,128.5489551101772
275,2019-10-03,0.30988,112.47988199785883
276,2019-10-04,0.28037,101.76837651910313
277,2019-10-05,0.25381,92.12765860938605
278,2019-10-06,0.31579,114.62508692430566
279,2019-10-07,0.32464,117.83744963142148
280,2019-10-08,0.43384,157.47473862769806
281,2019-10-09,0.30988,112.47988199785883
282,2019-10-10,0.19478,70.70101786350504
283,2019-10-11,0.21249,77.12937306610631
284,2019-10-12,0.12395,44.991226841469604
285,2019-10-13,0.242,87.840878544862
286,2019-10-14,0.18593,67.48865515638923
287,2019-10-15,0.18003,65.347080018312
288,2019-10-16,0.19773,71.77180543254364
289,2019-10-17,0.18888,68.55944272542783
290,2019-10-18,0.18298,66.41786758735061
291,2019-10-19,0.17412,63.20187509186517
292,2019-10-20,0.24791,89.98608347130883
293,2019-10-21,0.22134,80.34173577322213
294,2019-10-22,0.15937,57.84793724667214
295,2019-10-23,0.28332,102.83916408814174
296,2019-10-24,0.18003,65.347080018312
297,2019-10-25,0.13871,50.348794475032264
298,2019-10-26,0.14166,51.41958204407087
299,2019-10-27,0.15051,54.631944751186694
300,2019-10-28,0.22725,82.48694069966896
301,2019-10-29,0.15937,57.84793724667214
302,2019-10-30,0.21544,78.20016063514491
303,2019-10-31,0.1269,46.06201441050822
304,2019-11-01,0.14756,53.56115718214808
305,2019-11-02,0.15051,54.631944751186694
306,2019-11-03,0.21839,79.27094820418351
307,2019-11-04,0.2361,85.69930340678478
308,2019-11-05,0.17117,62.131087522826554
309,2019-11-06,0.25971,94.26923374746326
310,2019-11-07,0.81456,295.6680414359619
311,2019-11-08,0.44269,160.68710133481386
312,2019-11-09,0.59912,217.46788080081703
313,2019-11-10,0.41613,151.0463834250968
314,2019-11-11,0.28627,103.90995165718036
315,2019-11-12,0.26561,96.41080888554048
316,2019-11-13,0.26266,95.34002131650188
317,2019-11-14,0.23905,86.7700909758234
318,2019-11-15,0.121,43.920439272431
319,2019-11-16,0.08263,29.992941298189862
320,2019-11-17,0.35415,128.5489551101772
321,2019-11-18,0.30398,110.3383068597816
322,2019-11-19,0.16822,61.06029995378796
323,2019-11-20,0.16232,58.91872481571074
324,2019-11-21,0.15346,55.7027323202253
325,2019-11-22,0.08558,31.06372886722847
326,2019-11-23,0.06788,24.639003452996825
327,2019-11-24,0.1328,48.20358954858543
328,2019-11-25,0.10624,38.562871638868344
329,2019-11-26,0.11805,42.84965170339239
330,2019-11-27,0.10919,39.633659207906945
331,2019-11-28,0.09739,35.35050893175252
332,2019-11-29,0.10624,38.562871638868344
333,2019-11-30,0.1269,46.06201441050822
334,2019-12-01,0.17707,64.27266266090378
335,2019-12-02,0.17117,62.131087522826554
336,2019-12-03,0.15642,56.77714967763353
337,2019-12-04,0.1269,46.06201441050822
338,2019-12-05,0.121,43.920439272431
339,2019-12-06,0.15642,56.77714967763353
340,2019-12-07,0.10329,37.49208406982974
341,2019-12-08,0.14756,53.56115718214808
342,2019-12-09,0.12985,47.13280197954682
343,2019-12-10,0.11215,40.708076565315174
344,2019-12-11,0.14166,51.41958204407087
345,2019-12-12,0.10919,39.633659207906945
346,2019-12-13,0.16232,58.91872481571074
347,2019-12-14,0.1269,46.06201441050822
348,2019-12-15,0.07673,27.85136616011265
349,2019-12-16,0.16232,58.91872481571074
350,2019-12-17,0.12985,47.13280197954682
351,2019-12-18,0.10034,36.42129650079113
352,2019-12-19,0.07083,25.709791022035436
353,2019-12-20,0.14461,52.49036961310947
354,2019-12-21,0.14461,52.49036961310947
355,2019-12-22,0.10624,38.562871638868344
356,2019-12-23,0.20954,76.0585854970677
357,2019-12-24,0.38367,139.2640903773025
358,2019-12-25,0.13576,49.27800690599365
359,2019-12-26,0.17412,63.20187509186517
360,2019-12-27,0.121,43.920439272431
361,2019-12-28,0.13576,49.27800690599365
362,2019-12-29,0.21839,79.27094820418351
363,2019-12-30,0.15051,54.631944751186694
364,2019-12-31,0.15642,56.77714967763353
365,2020-01-01,0.121,43.920439272431
366,2020-01-02,0.09739,35.35050893175252
367,2020-01-03,0.17412,63.20187509186517
368,2020-01-04,0.14166,51.41958204407087
369,2020-01-05,0.16232,58.91872481571074
370,2020-01-06,0.18298,66.41786758735061
