,date,질스튜어트,질스튜어트_absolute
125,2019-05-06,37.08133,4348.1731252911595
126,2019-05-07,30.69856,3599.7266974280096
127,2019-05-08,31.21531,3660.3210305464336
128,2019-05-09,34.25837,4017.151589500185
129,2019-05-10,31.19617,3658.0766656971123
130,2019-05-11,35.32057,4141.7056304066
131,2019-05-12,39.39712,4619.723682992785
132,2019-05-13,34.60287,4057.5478115791348
133,2019-05-14,30.56459,3584.017316087177
134,2019-05-15,29.75119,3488.6376730131065
135,2019-05-16,33.59808,3939.7256926162686
136,2019-05-17,39.74162,4660.119905071734
137,2019-05-18,36.16267,4240.450648150238
138,2019-05-19,40.79425,4783.551763553488
139,2019-05-20,37.46411,4393.05807706875
140,2019-05-21,32.5933,3821.904746257816
141,2019-05-22,29.54066,3463.9508322749894
142,2019-05-23,29.30143,3435.898616867306
143,2019-05-24,27.77033,3256.36115496577
144,2019-05-25,31.16746,3654.710118423131
145,2019-05-26,36.54545,4285.335599927829
146,2019-05-27,31.5311,3697.3507053514013
147,2019-05-28,29.96172,3513.324513751223
148,2019-05-29,29.70334,3483.026760889804
149,2019-05-30,28.41148,3331.5426870003657
150,2019-05-31,28.57416,3350.61861561518
151,2019-06-01,33.22488,3895.9640958677514
152,2019-06-02,37.23444,4366.126871481313
153,2019-06-03,32.01913,3754.577318591429
154,2019-06-04,29.70334,3483.026760889804
155,2019-06-05,27.0622,3173.3255185629646
156,2019-06-06,34.46889,4041.8372576338875
157,2019-06-07,29.34928,3441.5095289906085
158,2019-06-08,31.89473,3739.990119675257
159,2019-06-09,34.07655,3995.8312960360495
160,2019-06-10,30.35406,3559.33047534906
161,2019-06-11,29.23444,3428.0433398946825
162,2019-06-12,29.7799,3492.004220287088
163,2019-06-13,28.3732,3327.0539573017236
164,2019-06-14,25.91387,3038.671835834605
165,2019-06-15,31.07177,3643.4894667809403
166,2019-06-16,33.89473,3974.511002571915
167,2019-06-17,28.57416,3350.61861561518
168,2019-06-18,29.46411,3454.9745454821204
169,2019-06-19,28.63157,3357.3505375587283
170,2019-06-20,29.30143,3435.898616867306
171,2019-06-21,26.54545,3112.7311854445406
172,2019-06-22,31.49282,3692.861975652759
173,2019-06-23,34.00956,3987.9760190634265
174,2019-06-24,31.68421,3715.304451541555
175,2019-06-25,28.73684,3369.694544229994
176,2019-06-26,29.03349,3404.4798541856408
177,2019-06-27,26.73684,3135.1736613333364
178,2019-06-28,25.69377,3012.862812671828
179,2019-06-29,30.06698,3525.667347818074
180,2019-06-30,36.0287,4224.741266809405
181,2019-07-01,31.6555,3711.9379042675732
182,2019-07-02,31.49282,3692.861975652759
183,2019-07-03,29.14832,3417.9448706771523
184,2019-07-04,30.64114,3592.9936028800466
185,2019-07-05,30.55502,3582.8951336625164
186,2019-07-06,32.65071,3828.6366682013645
187,2019-07-07,35.49282,4161.9037414460745
188,2019-07-08,33.48325,3926.260676124756
189,2019-07-09,31.54066,3698.4717151716472
190,2019-07-10,31.80861,3729.8916504577273
191,2019-07-11,30.07655,3526.7895302427346
192,2019-07-12,28.77511,3374.1821013242215
193,2019-07-13,32.2488,3781.5085241788674
194,2019-07-14,36.13397,4237.08527348067
195,2019-07-15,31.34928,3676.0304118872664
196,2019-07-16,33.28229,3902.696017811301
197,2019-07-17,32.52631,3814.049469285193
198,2019-07-18,30.89952,3623.291355741466
199,2019-07-19,29.55023,3465.0730146996502
200,2019-07-20,33.33014,3908.306929934603
201,2019-07-21,37.19617,4361.6393143870855
202,2019-07-22,32.46889,3807.3163747372296
203,2019-07-23,31.54066,3698.4717151716472
204,2019-07-24,31.52153,3696.2285229267404
205,2019-07-25,32.35406,3793.8513582457176
206,2019-07-26,30.29665,3552.5985534055117
207,2019-07-27,33.48325,3926.260676124756
208,2019-07-28,36.97607,4335.830291224308
209,2019-07-29,37.05263,4344.807750621592
210,2019-07-30,34.5933,4056.425629154474
211,2019-07-31,33.23444,3897.085105687998
212,2019-08-01,33.37799,3913.917842057905
213,2019-08-02,33.03349,3873.521619978956
214,2019-08-03,33.84688,3968.900090448612
215,2019-08-04,39.71291,4656.753357797753
216,2019-08-05,34.07655,3995.8312960360495
217,2019-08-06,35.91387,4211.276250317894
218,2019-08-07,36.32535,4259.526576765052
219,2019-08-08,33.62679,3943.0922398902494
