,date,메종 키츠네,메종 키츠네_absolute
124,2019-05-05,3.9296,4970.658629384026
125,2019-05-06,4.54135,5744.477953622035
126,2019-05-07,3.93288,4974.807591187869
127,2019-05-08,3.65489,4623.170429038421
128,2019-05-09,3.71803,4703.037943762391
129,2019-05-10,3.98701,5043.278110225063
130,2019-05-11,4.11575,5206.124861025882
131,2019-05-12,5.24166,6630.319246563791
132,2019-05-13,4.79064,6059.811699987858
133,2019-05-14,4.09443,5179.156609300905
134,2019-05-15,4.11329,5203.013139673
135,2019-05-16,4.46099,5642.828389427892
136,2019-05-17,5.26298,6657.287498288767
137,2019-05-18,4.71438,5963.34833804852
138,2019-05-19,4.8382,6119.971646143575
139,2019-05-20,4.70454,5950.901452636992
140,2019-05-21,4.70454,5950.901452636992
141,2019-05-22,4.33224,5479.96898935328
142,2019-05-23,4.16167,5264.210326279677
143,2019-05-24,4.06819,5145.964914870166
144,2019-05-25,3.89844,4931.243492247521
145,2019-05-26,4.33716,5486.192432059044
146,2019-05-27,4.21908,5336.829807120714
147,2019-05-28,3.93206,4973.770350736908
148,2019-05-29,3.81398,4824.407725798576
149,2019-05-30,3.36624,4258.049141026487
150,2019-05-31,3.42118,4327.54425124085
151,2019-06-01,3.60733,4563.010482882705
152,2019-06-02,4.06163,5137.66699126248
153,2019-06-03,4.16905,5273.545490338323
154,2019-06-04,4.12067,5212.348303731645
155,2019-06-05,6.19618,7837.717728577136
156,2019-06-06,5.37943,6804.58829159897
157,2019-06-07,4.58727,5802.5634188758295
158,2019-06-08,4.65451,5887.617135854602
159,2019-06-09,4.83738,6118.934405692614
160,2019-06-10,4.55283,5758.999319935483
161,2019-06-11,4.04113,5111.735979988464
162,2019-06-12,4.11165,5200.938658771079
163,2019-06-13,3.90992,4945.76485856097
164,2019-06-14,3.58519,4535.004990706768
165,2019-06-15,3.60159,4555.749799725981
166,2019-06-16,3.75166,4745.577451525569
167,2019-06-17,3.54501,4484.180208609697
168,2019-06-18,4.13051,5224.795189143173
169,2019-06-19,4.06163,5137.66699126248
170,2019-06-20,3.74674,4739.354008819805
171,2019-06-21,3.21289,4064.0725274230563
172,2019-06-22,3.4958,4421.933132278267
173,2019-06-23,3.87712,4904.275240522546
174,2019-06-24,3.8804,4908.424202326388
175,2019-06-25,3.69753,4677.106932488375
176,2019-06-26,3.741,4732.093325663081
177,2019-06-27,3.42446,4331.693213044692
178,2019-06-28,3.26455,4129.418675833576
179,2019-06-29,3.43594,4346.21457935814
180,2019-06-30,3.94108,4985.179995697475
181,2019-07-01,3.47694,4398.076601906172
182,2019-07-02,3.54337,4482.105727707775
183,2019-07-03,3.25061,4111.785588167246
184,2019-07-04,3.22765,4082.742855540348
185,2019-07-05,3.25307,4114.897309520127
186,2019-07-06,3.25061,4111.785588167246
187,2019-07-07,3.83038,4845.152534817789
188,2019-07-08,3.59831,4551.600837922138
189,2019-07-09,3.44004,4351.400781612944
190,2019-07-10,3.79758,4803.662916779364
191,2019-07-11,3.49826,4425.044853631149
192,2019-07-12,2.9554,3738.366376547626
193,2019-07-13,3.23995,4098.3014623047575
194,2019-07-14,3.35476,4243.5277747130385
195,2019-07-15,3.26783,4133.567637637419
196,2019-07-16,3.25717,4120.08351177493
197,2019-07-17,3.43758,4348.289060260062
198,2019-07-18,3.68277,4658.436604371083
199,2019-07-19,3.54911,4489.366410864501
200,2019-07-20,3.66883,4640.803516704752
201,2019-07-21,3.95748,5005.9248047166875
202,2019-07-22,3.81234,4822.333244896655
203,2019-07-23,3.60651,4561.973242431744
204,2019-07-24,3.83038,4845.152534817789
205,2019-07-25,4.02637,5093.065651871173
206,2019-07-26,3.27768,4146.027172322739
207,2019-07-27,3.18829,4032.9553138942374
208,2019-07-28,3.66145,4631.468352646107
209,2019-07-29,3.42528,4332.730453495652
210,2019-07-30,3.4056,4307.836682672598
211,2019-07-31,3.40396,4305.762201770676
212,2019-08-01,3.39084,4289.166354555306
213,2019-08-02,3.26373,4128.381435382616
214,2019-08-03,3.15877,3995.6146576596548
215,2019-08-04,3.82874,4843.078053915868
216,2019-08-05,3.45972,4376.294552435999
217,2019-08-06,3.57289,4519.446383942359
218,2019-08-07,3.66637,4637.6917953518705
219,2019-08-08,3.54337,4482.105727707775
220,2019-08-09,3.55895,4501.813296276027
221,2019-08-10,3.43184,4341.028377103337
222,2019-08-11,3.97963,5033.942946166417
223,2019-08-12,3.87466,4901.163519169663
224,2019-08-13,3.98455,5040.1663888721805
225,2019-08-14,3.68359,4659.473844822044
226,2019-08-15,4.07967,5160.486281183614
227,2019-08-16,3.59421,4546.414635667335
228,2019-08-17,3.71967,4705.112424664311
229,2019-08-18,3.82546,4838.9290921120255
230,2019-08-19,3.84924,4869.009065189884
231,2019-08-20,3.782,4783.955348211112
232,2019-08-21,3.91156,4947.839339462892
233,2019-08-22,3.46628,4384.592476043684
234,2019-08-23,4.23794,5360.686337492808
235,2019-08-24,4.06081,5136.629750811519
236,2019-08-25,4.30846,5449.889016275422
237,2019-08-26,4.20349,5317.10958927867
238,2019-08-27,4.12887,5222.7207082412515
239,2019-08-28,4.56103,5769.371724445089
240,2019-08-29,4.07557,5155.300078928811
241,2019-08-30,4.16413,5267.322047632559
242,2019-08-31,4.00341,5064.022919244275
243,2019-09-01,4.93825,6246.527630434565
244,2019-09-02,5.03747,6372.0337250008015
245,2019-09-03,5.00795,6334.693068766219
246,2019-09-04,4.31502,5458.186939883107
247,2019-09-05,3.92386,4963.397946227301
248,2019-09-06,3.69015,4667.7717684297295
249,2019-09-07,4.57907,5792.1910143662235
250,2019-09-08,5.89441,7456.0005933498305
251,2019-09-09,5.31546,6723.670887150248
252,2019-09-10,5.01205,6339.879271021022
253,2019-09-11,4.06983,5148.039395772085
254,2019-09-12,4.55119,5756.9248390335615
255,2019-09-13,4.72586,5977.869704361969
256,2019-09-14,4.7603,6021.433803302315
257,2019-09-15,5.47537,6925.945424361364
258,2019-09-16,5.39009,6818.072417461457
259,2019-09-17,4.81852,6095.07787532052
260,2019-09-18,4.77424,6039.066890968646
261,2019-09-19,4.59137,5807.749621130633
262,2019-09-20,4.67338,5911.486315500488
263,2019-09-21,4.82672,6105.450279830126
264,2019-09-22,5.48849,6942.541271576733
265,2019-09-23,6.51107,8236.030711019812
266,2019-09-24,7.37539,9329.332743427487
267,2019-09-25,5.6566,7155.188213297455
268,2019-09-26,4.69552,5939.491807676425
269,2019-09-27,4.47083,5655.2752748394205
270,2019-09-28,4.31584,5459.224180334068
271,2019-09-29,4.7562,6016.247601047512
272,2019-09-30,4.36258,5518.346886038825
273,2019-10-01,4.34372,5494.49035566673
274,2019-10-02,3.7943,4799.513954975521
275,2019-10-03,4.07557,5155.300078928811
276,2019-10-04,3.94682,4992.440678854199
277,2019-10-05,3.94108,4985.179995697475
278,2019-10-06,4.37078,5528.719290548431
279,2019-10-07,4.01407,5077.507045106763
280,2019-10-08,3.92796,4968.584148482105
281,2019-10-09,4.11329,5203.013139673
282,2019-10-10,3.7574,4752.8381346822935
283,2019-10-11,3.34902,4236.267091556314
284,2019-10-12,3.47776,4399.113842357133
285,2019-10-13,3.97225,5024.607782107771
286,2019-10-14,3.51713,4448.914033277036
287,2019-10-15,3.41708,4322.358048986046
288,2019-10-16,3.39494,4294.3525568101095
289,2019-10-17,3.20551,4054.7373633644106
290,2019-10-18,3.07431,3888.77889121071
291,2019-10-19,3.07267,3886.7044103087883
292,2019-10-20,3.48268,4405.337285062897
293,2019-10-21,3.44824,4361.77318612255
294,2019-10-22,3.18009,4022.582909384631
295,2019-10-23,3.20715,4056.811844266332
296,2019-10-24,3.51795,4449.9512737279965
